IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-42201,0.2,ea,1,1.0,R-42303,GELATO BLISS BAR STRAWB KIWI,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42200,0.2,each,1,1.0,R-42303,GELATO BLISS BAR COCONUT,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42197,0.5,ea,1,1.0,R-42302,GELATO BLISS BAR GREEN TEA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42204,1.0,each,1,1.0,R-42301,GELATO CONO PALLA VANILLA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-40471,0.25,ea,1,1.0,R-41589,CALIPOPS LEMON,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-40472,0.25,ea,1,1.0,R-41589,CALIPOPS MANGO,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-40473,0.25,ea,1,1.0,R-41589,CALIPOPS RASPBERRY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-40474,0.25,ea,1,1.0,R-41589,CALIPOPS STRAWBERRY,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42196,0.5,ea,1,1.0,R-42304,GELATI SANDWICH MOCHA,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42199,0.2,ea,1,1.0,R-42303,GELATO BLISS BAR HEDGE HOG,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-42198,0.5,each,1,1.0,R-42302,GELATO BLISS BAR MANGO,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-53014,1.0,ea,1,1.0,R-53980,COFFEE ICE TM HRTN DBL DBL,BEVERAGE,7.0,4.0163
I-42210,1.0,ea,1,1.0,R-42305,GELATO MINI CUP VANILLA BEAN,ICECREAM/NOVELTY/GELATO,7.0,4.0163
I-13531,0.25,CT,1,1.0,R-54867,CALZONE 5 CHEESE VEGETARIAN,FOOD - GROCERY,59.0,3.85686
I-2163,1.0,PTN,1,1.0,R-50078,EGG PATTY FRIED NATURAL SHAPED,DAIRY,11.0,3.6615
I-68699,1.0,each,1,1.1765,P-69444,EGG LIQ*WHL VEGAN JUST EGG,DAIRY,11.0,3.6615
I-3344,0.2,PTN,1,1.0,R-13828,MARGARINE NONHYDROG PORT TFC,FOOD - GROCERY,44.0,3.1509
I-2201,1.0,CT,1,1.0,R-38965,YOGURT RASPBERRY STIRRED 175G ,DAIRY,10.0,2.9782
I-2196,1.0,CT,1,1.0,R-38104,YOGURT PEACH FF 175G ,DAIRY,10.0,2.9782
I-45659,1.0,ea,1,1.0,R-46442,G&G|Pot|Yogurt Berries,PRODUCTION FOOD,10.0,2.9782
I-2197,1.0,CT,1,1.0,R-38038,YOGURT RASPBERRY STIRRED 175G,DAIRY,10.0,2.9782
I-2170,1.0,PTN,1,1.0,R-45977,YOGURT DRINK ASST,DAIRY,10.0,2.9782
I-2194,1.0,CT,1,1.0,R-42573,YOGURT BLUEBERRY STIRRED 175G,DAIRY,10.0,2.9782
I-2202,1.0,CT,1,1.0,R-42551,YOGURT STRAWBRY STIRRED 175G ,DAIRY,10.0,2.9782
I-11662,1.0,CT,1,1.0,R-42549,YOGURT PEACH 175G STIRRED,DAIRY,10.0,2.9782
I-2198,1.0,CT,1,1.0,R-38025,YOGURT STRAWBERRY STIRRED 175G,DAIRY,10.0,2.9782
I-2199,1.0,CT,1,1.0,R-42548,YOGURT FLDBRY STIRRED 175G ,DAIRY,10.0,2.9782
I-45660,1.0,ea,1,1.0,R-47011,G&G|Pot|Yogurt Tropical ,PRODUCTION FOOD,10.0,2.9782
I-19633,1.0,pak,1,0.3333,P-23837,YOGURT FROZEN MIX ,ICECREAM/NOVELTY/GELATO,10.0,2.9782
I-2195,1.0,CT,1,1.0,R-38037,YOGURT FRENCH VANILA FF 175G ,DAIRY,10.0,2.9782
I-32227,1.0,ea,1,1.0,R-38547,YOGURT GREEK ALT BLUEBERRY,DAIRY,10.0,2.9782
I-32229,1.0,ea,1,1.0,R-38546,YOGURT GREEK ALT STRAWBERRY ,DAIRY,10.0,2.9782
I-1854,0.5,CT,1,1.0,R-14388,SOY RICE DREAM VANILLA,BEVERAGE,25.0,2.5345
I-1263,0.09,CT,1,0.09,P-38170,SQUARE RICE CRISPY (6 PACK),BAKED GOODS,25.0,2.5345
I-13219,0.5,CT,1,1.0,R-14388,SOY RICE DREAM CHOCOLATE,BEVERAGE,25.0,2.5345
I-29464,1.0,ea,1,1.0,R-30006,PHILADELPHIA ROLL ,SUSHI,25.0,2.5345
I-17571,1.0,DOZ,1,0.0833,P-46877,OYSTER N/SHELL CHEF CREEK OW,SEAFOOD,14.0,2.4351
I-36042,1.0,ea,1,1.0,R-47111,BOB'S RED Oatmeal Cups Maple B,MM Grocery Chill,23.0,2.3017
I-40912,1.0,ea,1,1.0,R-47112,BOB'S RED Oatmeal Cups bb/hznt,MM Grocery Chill,23.0,2.3017
I-36044,1.0,ea,1,1.0,R-47285,BOB'S RED Oatmeal Cups Classic,MM Grocery Chill,23.0,2.3017
I-19501,0.125,ea,1,1.0,R-13172,"OATS BLUE,STRAW,BRWN SGR TO GO",FOOD - GROCERY,23.0,2.3017
I-36046,1.0,ea,1,1.0,R-47325,BOB'S RED Oatmeal Cups Apple/C,MM Grocery Chill,23.0,2.3017
I-19641,0.5,ea,1,1.0,R-19985,BAR GRANOLA PUMPKIN,CANDIES SNACKS,23.0,2.3017
I-19640,0.5,ea,1,1.0,R-19985,BAR GRANOLA SUNNY HEMP,CANDIES SNACKS,23.0,2.3017
I-19502,0.125,ea,1,1.0,R-13172,OATS BRWN SGR & FLAX TO GO,FOOD - GROCERY,23.0,2.3017
I-19503,0.125,ea,1,1.0,R-13172,OATS GF CRAN APPLE WALNUT  ,FOOD - GROCERY,23.0,2.3017
I-19504,0.125,ea,1,1.0,R-13172,OATS RAISINS W/ ALMONDS  TO GO,FOOD - GROCERY,23.0,2.3017
I-37119,1.0,ea,1,1.0,R-38096,G&G|Pot|Over Night Oat ,PRODUCTION FOOD,23.0,2.3017
I-36353,1.0,ea,1,1.0,R-49556,BAR GRANOLA MINI APPLE CINN,CANDIES SNACKS,23.0,2.3017
I-14039,1.0,bottle,1,1.0,R-40882,MILK 2 GO ICED COFFEE 473ml,DAIRY,9.0,2.2325
I-11362,4.0,CT,1,0.1818,P-56119,MILK CHOC 1% 473ml,DAIRY,9.0,2.2325
I-14038,0.5,bottle,1,1.0,R-41298,MILK 2 GO COOK & CREAM 473ml,DAIRY,9.0,2.2325
I-9346,1.0,CT,1,1.0,R-37741,DIM SUM CHICKEN BUN,FOOD - GROCERY,59.0,1.986875
I-2773,1.0,CT,1,1.0,R-13166,WRAP BUTTER CHICKEN WRAP,FOOD - GROCERY,59.0,1.986875
I-47759,1.0,ea,1,1.0,P-47805,BURGER VEG BEYOND BEET 4 OZ,MEAT,20.0,1.7542
I-3914,1.0,CT,1,1.0,R-42127,HOT DOG*VEG 7IN 5/LB FZN TFC,MEAT,20.0,1.7542
I-3441,0.167,PTN,1,1.0,R-13177,PEANUT BUTTER*PORT TFC,FOOD - GROCERY,19.0,1.692
I-21728,1.0,ea,1,1.0,R-56305,CLOVERLEAF TRAD HUMMUS SNACKS,MM Grocery,17.0,1.6776
I-37131,1.0,ea,1,1.0,R-38984,G&G|Dip|Hummus,PRODUCTION FOOD,17.0,1.6776
I-45535,1.0,each,1,1.0,R-45983,G&G|Pot|Bean & Corn ,PRODUCTION FOOD,17.0,1.6776
I-57542,1.0,each,1,1.0,R-37743,SMOOTHIE RASPBRY CHERRY FRUIT ,BEVERAGE,34.0,1.6547
I-19898,1.0,ea,1,1.0,R-49351,FUDGE - CHECKERS 155g,FOOD - GROCERY,43.0,1.6414
I-34618,1.0,ea,1,1.0,R-43028,EASTER|Hot Cross Bun 6ea,PRODUCTION FOOD,43.0,1.6414
I-46311,1.0,pak,1,1.0,R-46995,COCONUT CLUSTER PU,CANDIES SNACKS,43.0,1.6414
I-2835,0.1,CT,1,1.0,R-22974,VITA SOY LESS SUGAR,BEVERAGE,43.0,1.6414
I-41252,1.0,ea,1,1.0,R-56014,HUNTS Pudding Vanilla,FOOD - GROCERY,43.0,1.6414
I-2825,0.1,CT,1,1.0,R-22974,VITA HONEY CHRYSANTHEMUM,BEVERAGE,43.0,1.6414
I-11881,6.0,CT,1,1.0,R-54319,CROISSANT MINI CHOCOLATE,BAKED GOODS,24.0,1.5225
I-63681,1.0,ea,1,1.0,R-64337,COPENHAGEN EACH,BAKED GOODS,24.0,1.5225
I-19681,1.0,CT,1,1.0,R-45798,"CROISSANT SPINCH, RED PEP FETA",BAKED GOODS,24.0,1.5225
I-1174,1.0,CT,1,1.0,R-45803,CROISSANT CHEESE. ,BAKED GOODS,24.0,1.5225
I-17151,5.0,CT,1,0.5,P-28369,CIABATTA TUSCANO SLICED,BREAD,24.0,1.5225
I-29427,0.333,ea,1,0.333,P-33780,BS|Muffin| 1 |6ea,PRODUCTION FOOD,24.0,1.5225
I-1195,1.0,CT,1,1.0,R-45984,ROLL WHOLE WHEAT DINNER ,BREAD,24.0,1.5225
I-46611,1.0,ea,1,1.0,R-47009,BS|Tart|Pumpkin 6ea,PRODUCTION FOOD,24.0,1.5225
I-29442,0.333,ea,1,0.333,P-33780,BS|Muffin| 3 |6ea,PRODUCTION FOOD,24.0,1.5225
I-29443,0.333,ea,1,0.333,P-33780,BS|Muffin| 2 |6ea,PRODUCTION FOOD,24.0,1.5225
I-42103,1.0,ea,1,1.0,R-60972,VALENTINE COOKIES GINGER BEAR,FOOD - GROCERY,24.0,1.5225
I-68718,1.0,each,1,1.0,R-56493,BUN HAMBURGER WW VEGAN 85GR,BREAD,24.0,1.5225
I-29436,0.333,ea,1,0.333,P-38127,BS|Scone| 3 |6ea,PRODUCTION FOOD,24.0,1.5225
I-29437,0.333,ea,1,0.333,P-38127,BS|Scone| 2 |6ea,PRODUCTION FOOD,24.0,1.5225
I-7172,1.0,CT,1,1.0,R-47288,CROISSANT ALMOND EACH,BAKED GOODS,24.0,1.5225
I-63679,1.0,ea,1,1.0,R-64386,BUTTERHORNS EACH,BAKED GOODS,24.0,1.5225
I-63680,1.0,ea,1,1.0,R-64387,POPPYHORNS,BAKED GOODS,24.0,1.5225
I-1149,5.0,CT,1,0.4167,P-70079,TORTILLA SUNDRIED TOMATO 10IN,BAKED GOODS,24.0,1.5225
I-49928,1.0,ea,1,1.0,R-66175,COOKIES-Easter Egg,FOOD - GROCERY,24.0,1.5225
I-19905,1.0,bag,1,1.0,R-41893,MACAROON CHOC TWO BITE 280g,BAKED GOODS,24.0,1.5225
I-19906,1.0,bag,1,1.0,R-41894,MACAROON COCONUT TWO BITE 280g,BAKED GOODS,24.0,1.5225
I-63697,1.0,ea,1,1.0,R-70292,BAGEL MULTIGRAIN 4OZ,BREAD,24.0,1.5225
I-62929,0.15,LOAF,1,1.0,R-69678,BREAD LOAF*PANINI M/GRAIN 5/8 ,BREAD,24.0,1.5225
I-64917,1.0,each,1,1.0,R-67199,COOKIE SANDWICH RASP GF,BAKED GOODS,24.0,1.5225
I-61332,1.0,ea,1,1.0,R-66178,"TART LEMON CURD 4""",BAKED GOODS,24.0,1.5225
I-64921,1.0,each,1,1.0,R-66176,CUPCAKE COCONUT GF VEGAN,BAKED GOODS,24.0,1.5225
I-1043,15.0,each,1,1.0,R-65760,BROWNIE TWO*BITE BULK ,BAKED GOODS,24.0,1.5225
I-62999,1.0,ea,1,1.0,R-65524,BROWNIE GF BELGIAN ,FOOD - GROCERY,24.0,1.5225
I-62928,1.0,ea,1,1.0,R-13164,BAGEL EVERYTHING*SLCD,BREAD,24.0,1.5225
I-29700,0.333,ea,1,1.0,R-13163,DANISH CUSTARD CROWN,BAKED GOODS,24.0,1.5225
I-29699,0.333,ea,1,1.0,R-13163,DANISH MAPLE PECAN,BAKED GOODS,24.0,1.5225
I-28412,1.0,ea,1,1.0,R-13162,CAKE|Ponderosa 6ea,PRODUCTION FOOD,24.0,1.5225
I-29689,1.0,ea,1,1.0,R-13161,CROISSANT BUTTER CHOCOLATE,BAKED GOODS,24.0,1.5225
I-29232,1.0,ea,1,1.0,R-13159,BUN|Cinnamon |LG 6ea|Unbake,PRODUCTION FOOD,24.0,1.5225
I-48619,1.0,ea,1,1.0,R-65752,VALENTINE CAKE COCO HEART ,FOOD - GROCERY,24.0,1.5225
I-29438,0.333,ea,1,0.333,P-38127,BS|Scone| 1 |6ea,PRODUCTION FOOD,24.0,1.5225
I-32396,1.0,ea,1,1.0,R-47968,BS Xmas Cookie Shortbread 6ea,PRODUCTION FOOD,24.0,1.5225
I-54182,1.0,each,1,1.0,R-54317,BS|Xmas|Cookies Snowflake 6ea,PRODUCTION FOOD,24.0,1.5225
I-49595,1.0,each,1,1.0,R-49810,COOKIE SUGAR SHAMROCK SHAPE ,BAKED GOODS,24.0,1.5225
I-1965,4.0,ea,1,1.0,R-49931,CUPCAKE VANILLA ,BAKED GOODS,24.0,1.5225
I-2672,1.0,CT,1,1.0,R-49971,PIE TOP U/SWT 5IN TFC,BAKING-RAW INGREDIENTS,24.0,1.5225
I-54838,1.0,ea,1,1.0,R-55088,Valentine GF Sandwich Cookies,FOOD - GROCERY,24.0,1.5225
I-2774,1.0,CT,1,1.0,R-13178,WRAP SPINACH AND CHICKPEA WRAP,FOOD - GROCERY,24.0,1.5225
I-48730,1.0,ea,1,1.0,R-55087,VAL|Cookies Heart,PRODUCTION FOOD,24.0,1.5225
I-52560,1.0,each,1,1.0,R-52681,TART HAZELNUT VENUS IND G/F  ,BAKED GOODS,24.0,1.5225
I-65992,1.0,ea,1,1.0,R-52688,"TART GF PECAN 4""",BAKED GOODS,24.0,1.5225
I-16216,1.0,slice,1,1.0,P-50510,CAKE SHEET*TRIPLE CHOC FUDGE,BAKED GOODS,24.0,1.5225
I-1083,3.0,CT,1,1.0,R-53070,COOKIE CHOC*CHIP T/S,BAKED GOODS,24.0,1.5225
I-19178,30.0,CT,1,1.3636,P-56119,BAGEL PLAIN G/FREE FZN (S0),BREAD,24.0,1.5225
I-7055,1.0,SHEET,1,0.0313,P-50725,FOCACCIA,BREAD,24.0,1.5225
I-1115,4.0,CT,1,1.0,R-54463,DANISH MINI ASSORTED,BAKED GOODS,24.0,1.5225
I-18638,6.0,ea,1,1.0,R-54462,DANISH MINI CINNAMON ,BAKED GOODS,24.0,1.5225
I-43238,3.0,each,1,1.0,R-54173,DONUT CHURRO*,BAKED GOODS,24.0,1.5225
I-17916,1.0,CT,1,1.0,R-54311,MUFFIN GF BLUEBERRY,BAKED GOODS,24.0,1.5225
I-64919,1.0,each,1,1.0,R-55145,CAKE LAVA EACH,BAKED GOODS,24.0,1.5225
I-17622,2.0,ea,1,1.0,R-55269,WAFFLES BLUBRRY - GF/WF,FOOD - GROCERY,24.0,1.5225
I-19907,14.0,piece,1,1.0,R-48482,DONUT MINI CHOC COATED BITES,BAKED GOODS,24.0,1.5225
I-54298,1.0,BAR,1,1.0,R-55274,BAR SOLO-CHOC BROWNIE,CANDIES SNACKS,24.0,1.5225
I-19908,16.0,piece,1,1.0,R-48483,DONUT MINI POWDERED BITES,BAKED GOODS,24.0,1.5225
I-32323,30.0,ea,1,1.0,P-46075,PUDDING YORKSHIRE*MINI ,BAKED GOODS,24.0,1.5225
I-19909,14.0,piece,1,1.0,R-48484,DONUT MINI OLD FASIONED BITES,BAKED GOODS,24.0,1.5225
I-19899,1.0,ea,1,1.0,R-48486,PRETZEL CHOCOLATE CARAMEL,BAKED GOODS,24.0,1.5225
I-16007,0.042,SHEET,1,0.042,P-69723,CAKE SHEET CARROT COUNTRY,BAKED GOODS,24.0,1.5225
I-48731,1.0,ea,1,1.0,R-48910,VAL|Cookies Ginger Bear 6ea,PRODUCTION FOOD,24.0,1.5225
I-48618,1.0,ea,1,1.0,R-48911,VALENTINE COOKIES HEART ,FOOD - GROCERY,24.0,1.5225
I-14349,4.0,CT,1,1.0,R-49027,MACAROON PANIFRANCE,BAKED GOODS,24.0,1.5225
I-1060,0.042,CAKE,1,0.042,P-69720,CAKE MAPLE*CHOC MANIA 16IN,BAKED GOODS,24.0,1.5225
I-1047,12.0,CT,1,1.0,P-46861,HOT DOG SLIDER SLCD FZN,BREAD,24.0,1.5225
I-17687,1.0,ea,1,1.0,R-49350,CHIPS COCONUT ,BAKED GOODS,24.0,1.5225
I-11854,1.0,CT,1,0.5,P-47362,CIABATTA TUSCANO ,BREAD,24.0,1.5225
I-31492,1.0,ea,1,1.0,P-48485,BAR SWEET SALTY CARAMEL 12X16,BAKED GOODS,24.0,1.5225
I-1253,1.0,CT,1,1.0,R-55975,CIABATTA 3.5X6 ,BREAD,24.0,1.5225
I-1051,0.042,SHEET,1,0.042,P-69719,CAKE GERMAN*CHOC 12X16IN,BAKED GOODS,24.0,1.5225
I-2642,2.0,CT,1,1.0,R-50078,PANCAKE BUTTERMILK*4IN,FOOD - GROCERY,24.0,1.5225
I-29388,2.0,CT,1,1.0,R-70822,TORTILLA FLOUR 4.5 IN,BAKED GOODS,24.0,1.5225
I-38713,1.0,CT,1,1.0,R-38961,COOKIE PUMPKIN SUGAR,BAKED GOODS,24.0,1.5225
I-1404,1.0,CT,1,1.0,R-38946,TART GF BUTTER SINGLE WRAPPED,BAKED GOODS,24.0,1.5225
I-47962,0.6,slice,1,1.0,R-13189,LOAF BANANA (7 PORTION SLICES),BAKED GOODS,24.0,1.5225
I-13790,1.0,CT,1,1.0,R-38962,BROWNIE GF CHOC 3X3 WRAPPED,BAKED GOODS,24.0,1.5225
I-38808,1.0,ea,1,1.0,R-38975,BS|Cookies|Sugar Pumpkin 6ea,PRODUCTION FOOD,24.0,1.5225
I-1024,1.0,CT,1,1.0,R-30559,ROLL CKTL  ASST T/S FZN,BREAD,24.0,1.5225
I-41235,1.0,ea,1,1.0,R-41292,PROTEIN ENRGY BALL CHOC PB,FOOD - GROCERY,24.0,1.5225
I-29693,1.0,ea,1,1.0,R-30518,DANISH CHERRY GREEK YOG,BAKED GOODS,24.0,1.5225
I-1398,1.0,CT,1,1.0,R-41283,SQUARE GF CARROT CAKE RTC,BAKED GOODS,24.0,1.5225
I-32397,1.0,ea,1,1.0,R-41180,BS Xmas Cookies Ginersnap 6ea,PRODUCTION FOOD,24.0,1.5225
I-32393,1.0,each,1,1.0,R-41179,BS Xmas Tree\Bell Sugar Cookie,PRODUCE,24.0,1.5225
I-32394,1.0,ea,1,1.0,R-41178,BS Xmas Mincemeat Tart 6 ea,PRODUCE,24.0,1.5225
I-1388,1.0,CT,1,1.0,R-39828,COOKIE GF ALMOND BUTTER,BAKED GOODS,24.0,1.5225
I-1383,1.0,CT,1,1.0,R-39842,BISCOTTI GF ALMOND & ANISE ,BAKED GOODS,24.0,1.5225
I-13788,1.0,ea,1,1.0,R-39841,COOKIE GF CHOC CHIP,BAKED GOODS,24.0,1.5225
I-22489,1.0,ea,1,1.0,R-34096,"TART BUTTER PLAIN 3"" ",BAKED GOODS,24.0,1.5225
I-34617,1.0,ea,1,1.0,R-34888,EASTER|Egg Cookies  6ea,PRODUCTION FOOD,24.0,1.5225
I-13791,1.0,CT,1,1.0,R-38949,BAR GF NANAIMO 3X3 WRAPPED,BAKED GOODS,24.0,1.5225
I-38809,1.0,ea,1,1.0,R-38976,BS- Cookies Halloween,PRODUCTION FOOD,24.0,1.5225
I-2780,1.0,CT,1,1.0,R-33942,CHEESECAKE GLUTEN FREE NY,BAKED GOODS,24.0,1.5225
I-18636,0.333,ea,1,1.0,R-22861,STRUDEL BLUEBERRY MINI,BAKED GOODS,24.0,1.5225
I-31541,1.0,ea,1,1.0,R-33536,"TART LEMON CURD 3""",BAKED GOODS,24.0,1.5225
I-31463,1.0,ea,1,1.0,R-38487,BAR MOUSSE MANGO,BAKED GOODS,24.0,1.5225
I-31545,1.0,slice,1,1.0,R-32206,CAKE CARROT CARM STACK,BAKED GOODS,24.0,1.5225
I-47963,0.3,slice,1,1.0,R-13189,LOAF LEMON (8 PORTION SLICES),BAKED GOODS,24.0,1.5225
I-1392,1.0,CT,1,1.0,R-38944,COOKIE GF GINGER VEGAN ,BAKED GOODS,24.0,1.5225
I-19900,1.0,ea,1,1.0,R-19903,MARSHMALLOW STICK - CHOCOLATE,BAKED GOODS,24.0,1.5225
I-1081,1.0,CT,1,1.0,R-18079,COOKIE CHOC CHIP IND WRPD TFC,BAKED GOODS,24.0,1.5225
I-2760,0.333,CT,1,1.0,R-22861,STRUDEL APPLE MINI U/BKD TFC,BAKED GOODS,24.0,1.5225
I-58397,0.333,each,1,1.0,R-22861,STRUDEL PETITE CHERRY,BAKED GOODS,24.0,1.5225
I-1406,1.0,CT,1,1.0,R-38945,TART GF CHOCO DIPPED PECAN ,BAKED GOODS,24.0,1.5225
