PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-61508,GRILLED|Mexican Corn,8,ea,,4000,g
P-46509,YIELD|Lettuce bun,3,PTN,,450,g
P-5548,PREP|Lasagna,3,full in,PREP,19090,g
P-5960,PREP|Tiramisu,1,full in,PREP,6726,g
P-61646,PREP|Chicken Wings,100,ea,,5721,g
P-60970,SAND|IItalian Grander,1,each,DELI & PREPARED MEAT,300,g
P-54644,BAKED|Moussaka,16,PTN,,6720,g
P-54667,BAKED|Pasta|Bolognese Penne,16,PTN,,7200,g
P-53088,BATCH|Enchiladas Vegan|POP,6,each,,2580,g
P-41727,BATCH|Lentil & Squash Stew,15,PTN,,4927,g
P-62403,BATCH|RELLENO|Poblano,1,each,,261,g
P-53361,Batter|Pancake|Banana,24,ea,,4250,g
P-51518,COOKED|4 oz Burger Patty,1,PTN,,113.4,g
P-55099,COOKED|6 oz Burger Patty,1,PTN,,170,g
P-47324,COOKED|Meatball Blended,180,each,PREP,8465,g
P-48863,DES|Brown Rice Pudding,12,CT,,2241,g
P-51018,DOUGH|BreakfastBiscuit,5,each,,1145,g
P-55422,FILLING|ChocCheeseCake|G&G,2.5,1L,,2500,g
P-44353,FLEX|Savoury Chaat,7,PTN,,653,g
P-47610,FLEXlCyprus Mannoush (V),1,PTN,,485,g
P-47267,FLEXlCyrpus Mannoush (P),1,PTN,,455,g
P-55669,GRILLED|Chicken Breast|4 oz,1,PTN,,113.4,g
P-53955,HS|Crab Cakes Breaded|STOLW,40,each,,4454,g
P-47226,HS|Herbs|Risotto,1,PTN,,5,g
P-47228,HS|Veg|Risotto,1,PTN,,172,g
P-46641,HS|Wild & Brown Rice Pilaf,30,PTN,,5160,g
P-52088,MSlFlatbread,10,PTN,,2000,g
P-46862,PREP|Slice|Roma,20,slice,PREP,454,g
P-53906,PREP|Summer Roll,12,each,,835,g
P-53970,PUMPKIN|Croquettes|STOLW,16,each,,2504,g
P-51516,SAUCE|Chkn Strip Dip,1,PTN,,40.5,g
P-53938,SHRIMP|Roll Filling|Formal,12,each,,456,g
P-62442,WEDGE|Lime|1/6,1,CT,,14,g
P-14282,YIELD|Buttermilk Pancakes Choc,48,ea,,4400,g
P-50705,YIELD|Fried Egg|Overeasy,1,ea,,52.2,g
P-62549,YIELD|Lemon Wedge,8,piece,,84,g
P-51231,BURGER|Sets|basic,250,each,,12500,g
P-40407,Caliente-Chips & Salsa,1,1UN,,230.5,g
P-56910,COOKED|burger blend|GRL,1,PTN,,122,g
P-53814,COOKED|buttermilk chicken,1,ea,,140,g
P-51988,COOKED|Chicken Wings,40,PTN,,12500,g
P-51134,COOKED|Hard Boiled Egg,2,un,,100,g
P-14366,COOKED|Perogy,540,piece,,17500,g
P-22963,COOKED|waffle|SP,1,ea,,207,ml
P-53314,Eat It|Stuffed Port Mush|POP,1,CT,,203.8,g
P-54556,SIDE|Garlic Flatbread,24,slice,,1690,g
P-9779,SLICED|Tomato,768,slice,,11250,g
P-53742,SS|POP|Tempeh|Tostadas,1,each,,105.02,g
P-49970,STEW|Pot Pie Beef|SP,72,CT,PREP,17040,g
P-51224,YAKITORI|Sides mix,1,each,,180,g
P-7367,PASTA  Lasagna Beef,216,ea,,41810,g
P-55459,PASTA|Mac n cheese|Spec,56,CT,PREP,28000,g
P-45964,PATTY|Burger|Ultimate Veggie,110,ea,,15820,g
P-36868,Pork Chop- Allergen free prep,10,ea,,1878.294,g
P-44497,GRILL|Scallion Bottoms,6,each,,156,g
P-52753,GRL|COOKED EGG ANYSTYLE,1,ea,,52,g
P-7166,GRL|Pasta|Mac&Cheese,56,CT,PREP,20000,g
P-7637,PREP Sour Cream/Salsa,1,srvg,,59.14,ml
P-50505,PREP|Buttermilk Pancakes|2,2,each,,120,ml
P-53834,PREP|Cornbread,36,CT,,3617.6,g
P-51382,PREP|Roasted Tomato Roma|side,44,each,,5070,g
P-55252,PREP|Seafood Crepe|POP,402,CT,,20400,g
P-44907,Radicchio-Lemon and Honey Prep,48,PTN,,2040,g
P-62434,SAUCES|chicken strips|ratio,1,srvg,,40,g
P-14200,Side Bar-Oatmeal,3,PTN,,1075,g
P-53947,BREADED|Arancini|FORMAL,120,piece,FEAST,8500,g
P-38314,PTN|Vegetarian Egg Roll|1 pc,1,ea,FEAST,50,g
P-44438,BATCH|Garlic Bread|Baguette,1,PTN,,500,g
P-13890,Bread for toast,30,slice,,1500,g
P-27418,COOKED|Turkey Sausage,1,ea,,120,g
P-24618,FLEX|Side Garlic Naan Bread,1,PTN,,134,g
P-13944,G&G-Banana by each,1,ea,PRODUCE,118,g
P-54881,GRILLED|Foccacia,36,PTN,,580,g
P-28225,GRL - G&G Bacon & Egger,1,PTN,,300,g
P-50667,GRL|Burger|Signaiture,1,PTN,,250,g
P-42552,Gyaza-Sushi Avocado Roll Pack,1,pak,SUSHI,300,g
P-42553,Gyaza-Sushi Cucumber Roll Pack,1,pak,SUSHI,300,g
P-42554,Gyaza-Sushi Salmon Roll Pack,1,pak,SUSHI,300,g
P-42555,Gyaza-Sushi Smoked Tofu Roll P,1,pak,SUSHI,300,g
P-42556,Gyaza-Sushi Spicy Salmon Pack,1,pak,SUSHI,300,g
P-42558,Gyaza-Sushi Tuna Roll Package,1,pak,SUSHI,300,g
P-42557,Gyaza-Sushi Tuna Spicy Roll Pk,1,pak,SUSHI,300,g
P-47207,HS|Bahn Mi (Pork Belly),1,PTN,,465,g
P-50994,HS|Tostada Kimchi|PREP,1,PTN,,300,g
P-47208,HSlBahn Mi (Smoked Tofu),1,PTN,,365,g
P-37871,HSlMushroom Tostada,1,ea,,250,g
P-53634,PIZZA|16 Inch|Vegetarian,6,slice,PREP,810,g
P-50799,SLICED|Sourdough,18,slice,,1350,g
P-43638,SMOOTHIE|Banana Matcha|PREP,2,ea,,730,ml
P-43637,SMOOTHIE|Blueberry Boost,1,ea,,365,ml
P-36815,SMOOTHIE|Delish,2,ea,,730,ml
P-44309,SMOOTHIE|Hawaiian Sun ,1,PTN,,365,ml
P-50627,SMOOTHIE|Nojito,2,srvg,,730,ml
P-39135,SMOOTHIE|Orange Zinger,2,ea,,730,ml
P-36066,SMOOTHIE|Rise & Shine,3,ea,,1095,ml
P-50658,YIELD|Golden apple,0.75,CT,,75,g
P-62841,YIELD|Par bake baguette,4,piece,,454,g
P-48520,BREAD|Garlic|SourDough5/8,22,slice,,954,g
P-44512,Elote-Corn-prep,12,each,,1980,g
P-51255,FLX|Beyond breakfast|SP,1,PTN,,250,g
P-51086,GRL|English muffin|Prep,6,CT,,342,g
P-47805,PREP|Burger Beyond,1,PTN,,250,g
P-53310,Eat It|Vegan Empanda|POP,1,CT,,230,g
P-52951,FAN|Apple|BBC,6,CT,,720,g
P-50725,BREAD|Focaccia|Portion ,16,ea,PREP,454,g
P-7523,BREAD|Garlic bread country|FLX,16,ea,,454,g
P-61959,STEAMED|Bao buns,24,each,,1200,g
P-48635,wonton soup,1,each,,450,g
P-47509,WRAP | Nori | SP ,2,each,,4,g
P-55079,WRAP|Spring roll,1,CT,,53,g
P-14076,Cereal Breakfast - Small Bowl,6,PTN,,700,g
P-14077,Cereal Breakfast Lg Bowl,6,PTN,,1400,g
P-54069,PREP|Cheese burger roll|ROLLED,1,each,PREP,106,g
P-47362,PREP|Grilled Ciabatta points,2,ea,,257,g
P-51225,PREP|Skewer Yakitori,2,ea,,1000,ml
P-50949,PREP|skewered chicken|Yakitori,2,srvg,,1170,g
P-36793,PREP|Smoothie|orange zinger,2,ea,,350,g
P-49035,PREP|smoothie|Strawberry Cupid,4,each,,350,g
P-50950,PREP|Tamago|Yakitori,2,srvg,,1170,g
P-50954,PREP|TofuYakitori,2,ea,,1150,g
P-50947,PREP|Zuchini|Yakitori,2,ea,,1400,g
P-47366,ROLL|Savoy|Steamed wrap,12,each,,600,g
P-51133,SALAD|Cobb,1,ea,,500,g
P-50723,SAND|Panini|Chicken Bri,1,srvg,PREP,650,g
P-50641,SAND|Panini|grilled Farm,1,un,PREP,650,g
P-49636,SIDE|Papadum Cone|FF,12,ea,,1440,g
P-14833,TP - WOK SOUP WON TON CHICKEN,1,PTN,,500,g
P-47365,PREP|Savoy cabbage rolls|FLX ,2,each,,100,g
P-33556,COOKED| Fried Fish,1,each,,220,g
P-64456,POP-UP|Coconut|Flan|LM,9,PTN,,1026,g
P-64513,POP|Salmon|En|Papillote|LM,1,PTN,,350,g
P-44585,PREP|Lime|WEDGE,8,piece,,84,g
P-64944,Sesame|Tuna,1,PTN,,136,g
P-60812,COOKED|Tart Shell,1,each,,120,g
P-62629,MARINATED|Citrus Soy Pork,100,each,,9500,g
P-47243,PTN|Veg. Spring Roll|1 pc,1,PTN,,34.2,g
P-62520,SQR|Cauliflower Taco,1,PTN,,197,g
P-62597,SQR|Chipotle Prawn Taco,1,PTN,,193,g
P-60813,TART|Spinach Feta,1,ea,,245,g
P-62284,BREAD|Garlic cheezey toast|FLX,16,ea,,954,g
P-50776,COOKED|Pork chop|herbs|SL ,12,CT,,3140,g
P-7570,CUT|Spring Roll Veggie,1,ea,,34.2,g
P-22037,DES|Bar|Brownie Double Choc,1,slice,BAKING-RAW INGREDIENTS,70,g
P-22029,DES|Bar|Nanaimo,1,slice,BAKING-RAW INGREDIENTS,70,g
P-22032,DES|Bar|Rocky Road Brownie,1,slice,BAKING-RAW INGREDIENTS,70,g
P-48485,DES|Bar|Salty Caramel,1,slice,BAKING-RAW INGREDIENTS,70,g
P-50510,DES|Bar|Triple Chocolate,1,slice,BAKING-RAW INGREDIENTS,70,g
P-22030,DES|Cake|Black Forest,1,slice,BAKING-RAW INGREDIENTS,100,g
P-63831,DES|Cake|Chocolate Layer,1,slice,BAKING-RAW INGREDIENTS,100,g
P-38172,DES|Cake|Slice Assorted,1,PTN,BAKED GOODS,100,g
P-22048,DES|Cake|Sticky Toffee,1,slice,BAKING-RAW INGREDIENTS,100,g
P-22042,DES|Cake|Strawberry Cream,1,slice,BAKING-RAW INGREDIENTS,100,g
P-22049,DES|Cake|Tiramisu,1,slice,BAKED GOODS,100,g
P-63830,DES|Cake|Triple Tiger,1,slice,BAKING-RAW INGREDIENTS,100,g
P-38170,DES|Square|Asst|Whole,1,PTN,BAKED GOODS,100,g
P-13850,G&G-Pie Slice Asst,30,slice,BAKED GOODS,5105,g
P-53808,G&G|Ed CC Cookie,36,CT,,2141,g
P-55093,MARINATED|Ramen Eggs,48,CT,,2400,g
P-33780,MUFFIN ASST CK,1,ea,PRODUCTION FOOD,113,g
P-50612,PREP|Apple Brine|SL,1.5,1L,,1500,ml
P-50614,PREP|Apple Pork Chop|Brined|SL,12,CT,PREP,3040,g
P-55184,PREP|Smoothie|C++,4,ea,,328,ml
P-36780,PREP|Smoothie|Chocohiolic|DEL,2,ea,,328,ml
P-56681,PREP|Smoothie|Green means go,2,ea,,328,ml
P-64672,Bread ratio|popRS,1,CT,,45,g
P-64039,Portion|pumkin pie,6,slice,,1020,g
P-32664,PREP|Garlic Pita,1,each,ZDONT USE OK - PREP,61,g
P-55707,PREP|Quiche|Pork belly,1,PTN,,185,g
P-55709,PREP|Quiche|spinach,1,PTN,,185,g
P-62293,PREP|Quiche|sundried tom,1,PTN,,185,g
P-62023,GZA|Sushi Cucumber maki roll,1,ROLL,SUSHI,155,g
P-54581,SLICE|Multigrain Bread,22,slice,,38,g
P-50511,TOASTED|French Toast,1,each,,65,g
P-32729,BAKED|Warm Baguette,4,each,ZDONT USE OK - PREP,340,g
P-65742,PREP|Potstickers (3),1,each,PREP,81,g
P-56612,PREP|Almonds are forever|TST,2,ea,,142,g
P-43206,BATCH| SMOOTHIE| Mango|16oz,4,PTN,,453.592,g
P-62306,COOKED|Eggs|Hardboiled,30,each,,1500,g
P-54358,GR|Smoothie|PeachyKeen|Prep=3,3,each,,510.9,g
P-32151,PREP|Sliced Roma Tomato,20,slice,,300,g
P-51511,SLICED|Cucumber,200,slice,,2836,g
P-53977,YIELD|Buttermilk Pancake,48,ea,,1700.97,g
P-62283,YIELD|Focaccia|NEW,24,PTN,,1368,g
P-64905,YIELD|Marble Rye,15,slice,,720,g
P-64904,YIELD|Multigrain Bagel,6,piece,,630,g
P-64902,YIELD|Sourdough clubhouse 5/8,20,slice,,1000,g
P-67674,BAKED|Loaded Sweet Potatoes,6,each,,780,g
P-68187,BATCH|Hashbrown Omelete Bite,9,each,,120,g
P-68139,COOKED|Beyond Bratwurst,50,each,,5000,g
P-44571,GARNISH|Nice Wok,1,PTN,,5443.11,g
P-67553,BATCH|3 Bean Flautas,60,each,,4260,g
P-68103,BATCH|Crispy Tostada shell,50,each,,1200,g
P-66019,YIELD|French Baguette,4,piece,,1000,g
P-67284,BAKED|Russet Potato,100,each,,17000,g
P-64887,YIELD|Beef Meatballs,160,each,,13600,g
P-61009,ALF|Flatbread|Brisket,1,un,,309.01,g
P-50502,BAKED|Meatball,310,each,PREP,11160,g
P-54785,BAKED|Puff Pastry Tart,6,each,,168,g
P-49184,BAKED|Tofu|Almond Butter,4,PTN,,888,g
P-29020,BATCH|SMOOTHIE|Wild Berry|16oz,4,PTN,,118.294,ml
P-53754,BATCH|Whole Wheat Pita,15,each,,960,g
P-43663,BOWL|Cereal Breakfast Large ,3,PTN,,168,g
P-43661,BOWL|Cereal Breakfast Small ,3,PTN,,84,g
P-50379,BREADED|Cornmeal Catfish,1,CT,,78,g
P-32310,BS Xmas Cookies Shortbread 6ea,1,PAK 6,BAKED GOODS,72,g
P-46861,BUNS|Toasted slider hot dog,12,each,,528,g
P-49181,CHILI|B-Nut Squash & Chipotle,4,PTN,,1920,g
P-13326,CK- XMAS SHORTBREAD,25,ea,,300,g
P-49178,COOKED|Mushroom|DSSTO,9,PTN,,108,g
P-56329,COOKED|Potato|Pave,36,each,,1908,g
P-47814,COOKED|Salmon|Phyllo,1,ea,,227,g
P-55583,COOKED|Tamales|Meat,25,each,,3550,g
P-55638,COOKED|Tamales|Mushroom,25,each,,3550,g
P-61132,DES|Bar|Tiger Brownie,1,slice,BAKING-RAW INGREDIENTS,50,g
P-61133,DES|Bar|Triple Berry Crumble,1,slice,BAKING-RAW INGREDIENTS,45,g
P-60927,DES|Cake|Chocolate Layer,1,slice,BAKED GOODS,109,g
P-58285,DES|Cake|Slice Assorted,1,PTN,BAKED GOODS,1200,g
P-33038,DES|Jello|Asst.,240,PTN,BAKED GOODS,32400,g
P-58297,DES|Pie|Asst Slice,1,PTN,BAKED GOODS,125,g
P-58286,DES|Square|Asst Whole,1,PTN,BAKED GOODS,114,g
P-56302,DESSERT|Posset,60,each,,8220,ml
P-49177,FILLING|Shepherd's Pie|DSSTO,9,PTN,,4203,g
P-58289,FRUIT|Canteloupe|1/4 cut.,1,PTN,PREP,138,g
P-60855,G&G|Samosa|Assorted,1,each,PREP,100,g
P-26072,GRILLED|Scallions,1,ea,ZDONT USE OK - PREP,19,g
P-56412,HS| Chicken pot pie  ,8,PIE,,3336,g
P-55173,HS|White Bean Pot Pie|Test,1,ea,ZDONT USE OK - PREP,302,g
P-53893,Main|Beef Roulade|POPRS,280,piece,,72240,g
P-53889,Main|Vegan cabage roll|POPRS,76,piece,,19684,g
P-43438,MARINATED|Filipino Pork,100,each,,6300,g
P-26455,OK - Roasted Acorn Squash,10,ea,ZDONT USE OK - PREP,20500,g
P-56335,PASTA|Chicken Macaroni,16,each,,3632,g
P-54960,POP|Crepe|MR,1,CT,,64,g
P-61118,POP|Egg|Batter,6,PTN,,300,g
P-55404,POP|House Salad|TAM,100,each,,17000,g
P-61131,POP|Marinated|Halloumi,10,PTN,,280,g
P-55403,POP|Meetballs|TAM,120,each,,3390,g
P-54916,POP|RootVegStrudel|MR,1,each,,117,g
P-54774,POP|Torte Salad|SZ,1,each,,85,g
P-53822,POPUP|Crust ,12,ea,,636,g
P-54562,POPUP|Red Wine Poached Pears,20,each,,1100,g
P-54787,POPUP|Tart|Bolognese,10,each,,1170,g
P-53898,PORTION|Acorn Squash Bowl|POP,40,piece,,19840,g
P-60503,POTPIE|Beef & Mushroom,1,PTN,,283,g
P-57968,RATIO|Sandwich|FLX,6,un,,1260,g
P-49276,SALAD|Beet & Greens|DSSTO,6,PTN,,1554,g
P-54200,SAUTE|Chili Garlic Beef,1,Batch,,249,g
P-54199,SAUTE|Spinach,1,Batch,,180,g
P-28341,SIDE|Corn on the Cob,96,each,ZDONT USE OK - PREP,9888,g
P-68710,SKEWER|Harissa Chicken,50,each,PREP,10100,g
P-68708,SKEWER|Thai Chicken,50,each,PREP,10100,g
P-56234,SQR| Bean Enchilada ,1,PTN,,144,g
P-56224,SQR| Chicken Enchilada ptn,1,PTN,,122,g
P-61083,SQR|Built beef pie|popRS,1,CT,,496,g
P-61082,SQR|Built black bean pie|popRS,1,CT,,496,g
P-61081,SQR|Built Moroccan Pie|popRS,1,CT,,496,g
P-26183,SQR|Jalapeno|Corn Bread,40,PTN,ZDONT USE OK - PREP,2600,g
P-53737,SQR|Lamb Kibbeh|POP,10,each,,420,g
P-56096,TACO|Black Bean and Hominy,1,each,,179,g
P-56081,TACO|Pulled Pork,1,each,,118,g
P-65534,TIRAMISU|Pumpkin Gingersnap,12,ea,,2088,g
P-45430,Toast Bar - Bread Portion,14,ea,,1358,g
P-45429,Toast Bar - Spread,1,each,,475,ml
P-45431,Toast Bar - Toppings,1,each,,283,g
P-46594,VEG|Refried Bean Taco,1,each,,179,g
P-61076,YEILD|turnip,0.85,CT,,102,g
P-58310,YIELD|Multigrain Loaf|Slice,18,slice,,468,g
P-50657,YIELD|Tomato Vine On|Slice,14,slice,,658,g
P-58309,YIELD|Whole Wheat Loaf|Slice,18,slice,,396,g
P-70055,BASIC|Egg Omelette|AAD,1,each,,178,g
P-44724,BASIC|Omelett|Egg White,1,each,,163,g
P-47328,BBQ|salmon ,140,PTN,,31780,g
P-47705,BC Mushroom Quinoa Bowl,1,each,,422,g
P-46644,BVSTO - Fire Roasted Corn,96,PTN,,14592,g
P-46643,BVSTO|Salmon (Brined&Smoked),50,PTN,,4250,g
P-40627,Caliente-Quinoa Enchilada,15,PTN,PREP,3825,g
P-14135,Cheese White Cheddar Sliced,2,slice,,40,g
P-7137,COOKED|Drumsticks Halal,350,piece,,31850,g
P-36899,COOKED|kuttera rst|SL,10,ea,SEAFOOD,2270,g
P-70984,COOKED|Pate brisee pastry lid,24,ea,,3696,g
P-50773,COOKED|Pork chop Cajun,12,CT,,1884,g
P-40886,Delish-Vegan Chocolate Mousse,10,PTN,,1180,g
P-69721,DES|Bar|Apple Crumble,1,slice,BAKING-RAW INGREDIENTS,25,g
P-69723,DES|Cake|Carrot,1,slice,BAKING-RAW INGREDIENTS,173,g
P-69719,DES|Cake|German Chocolate,1,slice,BAKING-RAW INGREDIENTS,109,g
P-69720,DES|Cake|Maple Mania,1,slice,BAKING-RAW INGREDIENTS,109,g
P-52950,DESSERT|Baked Yogurt|BBC,15,each,,2550,g
P-13019,FF-Cornbread Jalapeno Ched,24,ea,PREP,744,g
P-39031,FF|Bowl|Thai Coconut DONTUSE,1,PTN,,422,g
P-53784,FNH|apple crumble|EACH,6,each,,846,g
P-53606,G&G|Ed Peach Pie,1,PIE,,1300,g
P-54796,G&G|Mini Choc Cake|Uncle Ed,70,each,,10780,g
P-64432,G&G|Nutella Brownie|Uncle Ed,24,each,,1200,g
P-53370,G&G|Uncle Ed Apple Pie,1,PIE,,1000,g
P-53379,G&G|Uncle Ed Apple Rhub Crisp,1,SHEET,,141,g
P-53804,G&G|Uncle Ed's BC Pie,12,piece,,1464,g
P-47966,Gyaza-Sushi Avocado Roll (12pc,1,pak,SUSHI,1800,g
P-46069,HCMG-Bnna Almnd Buttr Bulk,40,each,,14600,g
P-46075,HCMG-Breakfast Yorkies Prep,30,each,,2580,g
P-46072,HCMG-Chutney-Apple Raisin,24,PTN,,1464,g
P-46080,HCMG-Fruit Salad,33,PTN,,5346,g
P-46071,HCMG-Pancakes-Oat and Apple,30,each,,2430,g
P-44386,Moroccan lamb stew,80,PTN,PREP,20160,g
P-44727,Omelette- Whole Egg-Basic,1,each,,59.33,g
P-47051,Pop-up Oyster pan fried,3,each,,44,g
P-46877,Pop-up- Oysters- Breaded,12,ea,,136.8,g
P-66125,POP|Veg Empanada|Ed,1,CT,,222,g
P-46947,PREP|Arancini balls,1,each,,28,g
P-56119,PREP|Bread Pudding|SPEC,22,slice,,4400,g
P-70079,PREP|Spanish pie,12,piece,,240,g
P-50646,SAND|Panini|SP,1,un,,254,g
P-55574,SAUCE|Blue cheese|SPEC,100,CT,PREP,4300,g
P-38127,SCONE ASST CK,1,ea,PRODUCTION FOOD,115,g
P-47776,SMOOTHIE|Apple Cinnamon,4,ea,,824,g
P-47859,SMOOTHIE|Hardware,1,ea,,210,g
P-49572,SMOOTHIE|Shamrock,1,ea,,202,g
P-53334,SP|apple pie,6,each,,6000,g
P-39022,Supercrunch Salad,5,PTN,,1100,g
P-44689,TOPPING|Avocado Egg,2,ea,,254,g
P-65630,AQlCreme Caramel,6,PTN,,918,g
P-65591,AQlSalmon Miso,1,piece,,227,g
P-71855,BAKED|Basil puff pastry,300,each,,16200,g
P-56953,BATCH|Bannock AR,12,each,,2268,g
P-71427,BATCH|Beef Sausage roll,60,each,,4560,g
P-71581,BATCH|Chapati|VEGAN,8,each,PREP,320,g
P-56765,BATCH|Crispy Kale|MC,1,Batch,,130,g
P-71590,BATCH|Focaccia Bread Sticks,90,each,,5130,g
P-67530,BATCH|Mexican Lasagna,16,each,,4032,g
P-39328,BATCH|Pancake|Pumpkin Spice,24,ea,,960,g
P-70990,BATCH|Spiced French Toast,18,each,,1512,g
P-70120,BATCHIVegan Pumpkin Blondies,600,ea,,15000,g
P-65595,BATCHlMarinated Tofu,3,PTN,,240,g
P-70968,BERKIPOPIMUSHRISOTTO,1,PTN,,591,g
P-22287,BEV MILK ALMOND CHOCOLATE,1,PTN,,946,ml
P-22288,BEV MILK ALMOND ORIGINAL,1,PTN,,946,ml
P-26798,BRK|Pancake Blueberry,48,ea,,1824,g
P-56063,C19|Mac Chz mix,48,PTN,,3360,g
P-56064,C19|Spinach Salad,1,PTN,,170,g
P-71464,COOKED|Beef Souvlaki|SKEWER,120,each,,25200,g
P-54703,COOKED|Chicken Souvlaki skewer,120,each,,24240,g
P-55813,COOKED|Salmon PTN,140,PTN,,31780,g
P-43857,COST|Ham,1,slice,,42,g
P-43858,COST|Turkey,2,slice,PREP,56,g
P-29255,DESSERT|Bread Pudding|STOLW,20,PTN,PREP,4000,g
P-24027,Flax Seed bread -Slices,24,slice,,960,g
P-47268,FLEX|Marinated Olives (PTN),1,PTN,,30,g
P-50918,FLEXlTeppanyaki Beef,1,PTN,,246,g
P-64754,FNH Funfetti cake|BUTTER CREAM,200,PTN,,21800,g
P-64753,FNH|Funfetti Cake,220,PTN,,13400,g
P-45695,G&G-Pudding Mango,1,ea,BAKED GOODS,191,g
P-36698,G&G|HMR| Chickpea Curry,1,ea,CK - FOOD,260,g
P-14695,G&G|Sandwich|Italian ,1,ea,,223,g
P-50782,GARNISH|Orange Segments,3,slice,,52.5,g
P-71709,GRILLED|Pita Bread,50,each,,3000,g
P-62906,GRL|Quiche| 3 Cheese,1,each,,21,g
P-62907,GRL|Quiche|Bacon&Onion,1,each,,21,g
P-27388,HMS - Pork  Schnitzel,1,PTN,PREP,214,g
P-44445,HS|Pie|Tourtierre - PTN,1,PTN,,124,g
P-27488,INT - Grilled Focaccia,48,PTN,,5472,g
P-67132,JPOP/ Vegan Meringue,10,piece,,220,g
P-37632,MAG SIGNATURE SALAD,1,ea,,170,g
P-55041,PAN|L-Chilled|Eat The Rainbow,6,PTN,,978,g
P-55043,PAN|L-Chilled|Thai Buddah,6,PTN,,2718,g
P-32155,PAN|Sandwich|Smashed Chick Pea,1,ea,,285,g
P-71166,Panko Crusted Aubergine/Jpop,100,slice,,5500,g
P-13471,Pantry-Fruit/Berry Platter LRG,1,ea,,400,g
P-13469,Pantry-Vegetable Platter LRG,1,ea,,500,g
P-53944,PIZZETTES|Assorted|FORMAL,150,each,,19500,g
P-65363,POP|Kutsinta|JA,12,each,,900,g
P-54707,POP2|Chocolate Tart,40,piece,,5880,g
P-24696,PREP|Tomato slice-Yield,7,slice,,420,g
P-51219,PTN|Quiche|Denver,1,PTN,,134,g
P-51220,PTN|Quiche|Ham & Cheese,1,PTN,,202,g
P-42892,PTN|Quiche|Spinach Feta,1,each,,164,g
P-26806,PTNlQuiche|Western,1,PTN,,192,g
P-52038,S&SlRamen Poached Egg,1,each,,50,g
P-53920,SALAD|Wedge Canape|FORMAL,12,each,,348,g
P-49175,SALAD|Winter Beet & Pomegranat,6,PTN,,1554,g
P-43343,SALADlFattoush,1,CT,,120,g
P-64893,SMOOTHIE|Holiday Almond Nog,1,PTN,,1400,ml
P-38200,SOUP|Veggie Congee,8,PTN,,2016,g
P-47449,SPC18 - Cran/Apple Crumble,72,PTN,,10152,g
